design,outcome,tau,omega,ss_sys,ss_mc,factor,allocation,p_sys,q_sys,rho,factor_ss
CS-0,mean_total_shift,0.0489898580837208,0.4871391915565029,0.7113041619891125,0.0086273427515717,seeding_regime,main,0.0044891241966469,0.0002199215573139,0.0002664409281846,0.003193132724761
CS-0,mean_total_shift,0.0489898580837208,0.4871391915565029,0.7113041619891125,0.0086273427515717,seeding_regime,shapley,0.0050200547744139,0.000245931770971,0.0002821181366298,0.0035707858544539
PC-M01,mean_total_shift,0.0239315680181654,0.2249621314678196,0.3474724075574153,0.0039841290701651,seeding_regime,main,0.0814308513137299,0.0019487679569916,0.0023609852059026,0.0282949739554316
PC-M01,mean_total_shift,0.0239315680181654,0.2249621314678196,0.3474724075574153,0.0039841290701651,seeding_regime,shapley,0.0865355388831037,0.0020709311347695,0.0023756476461871,0.0300687120349903
PC-M05,mean_total_shift,0.0088156375856173,0.0331033817551869,0.1279979152934306,0.0005862682075026,seeding_regime,main,0.7351444378497638,0.0064807669371659,0.0078516248210343,0.0940969554843307
PC-M05,mean_total_shift,0.0088156375856173,0.0331033817551869,0.1279979152934306,0.0005862682075026,seeding_regime,shapley,0.782838466752233,0.006901220210968,0.0079166647672375,0.1002016917557914
