seeding_regime,step,mean,lo95,hi95
continuous,48,0.033730329173741275,0.03310210953875493,0.03435854880872762
continuous,49,0.03431637955324768,0.033677866425951254,0.0349548926805441
continuous,50,0.034904532857034466,0.03425542940532522,0.03555363630874371
single_shot,1,0.03683841675401274,0.0361458519568666,0.03753098155115888
single_shot,2,0.03683841675401274,0.0361458519568666,0.03753098155115888
single_shot,3,0.03683841675401274,0.0361458519568666,0.03753098155115888
single_shot,4,0.03683841675401274,0.0361458519568666,0.03753098155115888
single_shot,5,0.03683841675401274,0.0361458519568666,0.03753098155115888
single_shot,6,0.03683841675401274,0.0361458519568666,0.03753098155115888
single_shot,7,0.03683841675401274,0.0361458519568666,0.03753098155115888
single_shot,8,0.03683841675401274,0.0361458519568666,0.03753098155115888
single_shot,9,0.03683841675401274,0.0361458519568666,0.03753098155115888
single_shot,10,0.03683841675401274,0.0361458519568666,0.03753098155115888
single_shot,11,0.03683841675401274,0.0361458519568666,0.03753098155115888
single_shot,12,0.03683841675401274,0.0361458519568666,0.03753098155115888
single_shot,13,0.03683841675401274,0.0361458519568666,0.03753098155115888
single_shot,14,0.03683841675401274,0.0361458519568666,0.03753098155115888
single_shot,15,0.03683841675401274,0.0361458519568666,0.03753098155115888
single_shot,16,0.03683841675401274,0.0361458519568666,0.03753098155115888
single_shot,17,0.03683841675401274,0.0361458519568666,0.03753098155115888
single_shot,18,0.03683841675401274,0.0361458519568666,0.03753098155115888
single_shot,19,0.03683841675401274,0.0361458519568666,0.03753098155115888
single_shot,20,0.03683841675401274,0.0361458519568666,0.03753098155115888
single_shot,21,0.03683841675401274,0.0361458519568666,0.03753098155115888
single_shot,22,0.03683841675401274,0.0361458519568666,0.03753098155115888
single_shot,23,0.03683841675401274,0.0361458519568666,0.03753098155115888
single_shot,24,0.03683841675401274,0.0361458519568666,0.03753098155115888
single_shot,25,0.03683841675401274,0.0361458519568666,0.03753098155115888
single_shot,26,0.03683841675401274,0.0361458519568666,0.03753098155115888
single_shot,27,0.03683841675401274,0.0361458519568666,0.03753098155115888
single_shot,28,0.03683841675401274,0.0361458519568666,0.03753098155115888
single_shot,29,0.03683841675401274,0.0361458519568666,0.03753098155115888
single_shot,30,0.03683841675401274,0.0361458519568666,0.03753098155115888
single_shot,31,0.03683841675401274,0.0361458519568666,0.03753098155115888
single_shot,32,0.03683841675401274,0.0361458519568666,0.03753098155115888
single_shot,33,0.03683841675401274,0.0361458519568666,0.03753098155115888
single_shot,34,0.03683841675401274,0.0361458519568666,0.03753098155115888
single_shot,35,0.03683841675401274,0.0361458519568666,0.03753098155115888
single_shot,36,0.03683841675401274,0.0361458519568666,0.03753098155115888
single_shot,37,0.03683841675401274,0.0361458519568666,0.03753098155115888
single_shot,38,0.03683841675401274,0.0361458519568666,0.03753098155115888
single_shot,39,0.03683841675401274,0.0361458519568666,0.03753098155115888
single_shot,40,0.03683841675401274,0.0361458519568666,0.03753098155115888
single_shot,41,0.03683841675401274,0.0361458519568666,0.03753098155115888
single_shot,42,0.03683841675401274,0.0361458519568666,0.03753098155115888
single_shot,43,0.03683841675401274,0.0361458519568666,0.03753098155115888
single_shot,44,0.03683841675401274,0.0361458519568666,0.03753098155115888
single_shot,45,0.03683841675401274,0.0361458519568666,0.03753098155115888
single_shot,46,0.03683841675401274,0.0361458519568666,0.03753098155115888
single_shot,47,0.03683841675401274,0.0361458519568666,0.03753098155115888
single_shot,48,0.03683841675401274,0.0361458519568666,0.03753098155115888
single_shot,49,0.03683841675401274,0.0361458519568666,0.03753098155115888
single_shot,50,0.03683841675401274,0.0361458519568666,0.03753098155115888
