seeding_regime,step,mean,lo95,hi95
burst,1,0.008276332653659332,0.008115955193834935,0.00843671011348373
burst,2,0.015799816815123446,0.015498711243370666,0.016100922386876226
burst,3,0.022694371858155427,0.02226668713830212,0.023122056578008733
burst,4,0.029113072207597703,0.028568017791176337,0.02965812662401907
burst,5,0.03514949854110628,0.03449544366006449,0.03580355342214807
burst,6,0.03514949854110628,0.03449544366006449,0.03580355342214807
burst,7,0.03514949854110628,0.03449544366006449,0.03580355342214807
burst,8,0.03514949854110628,0.03449544366006449,0.03580355342214807
burst,9,0.03514949854110628,0.03449544366006449,0.03580355342214807
burst,10,0.03514949854110628,0.03449544366006449,0.03580355342214807
burst,11,0.03514949854110628,0.03449544366006449,0.03580355342214807
burst,12,0.03514949854110628,0.03449544366006449,0.03580355342214807
burst,13,0.03514949854110628,0.03449544366006449,0.03580355342214807
burst,14,0.03514949854110628,0.03449544366006449,0.03580355342214807
burst,15,0.03514949854110628,0.03449544366006449,0.03580355342214807
burst,16,0.03514949854110628,0.03449544366006449,0.03580355342214807
burst,17,0.03514949854110628,0.03449544366006449,0.03580355342214807
burst,18,0.03514949854110628,0.03449544366006449,0.03580355342214807
burst,19,0.03514949854110628,0.03449544366006449,0.03580355342214807
burst,20,0.03514949854110628,0.03449544366006449,0.03580355342214807
burst,21,0.03514949854110628,0.03449544366006449,0.03580355342214807
burst,22,0.03514949854110628,0.03449544366006449,0.03580355342214807
burst,23,0.03514949854110628,0.03449544366006449,0.03580355342214807
burst,24,0.03514949854110628,0.03449544366006449,0.03580355342214807
burst,25,0.03514949854110628,0.03449544366006449,0.03580355342214807
burst,26,0.03514949854110628,0.03449544366006449,0.03580355342214807
burst,27,0.03514949854110628,0.03449544366006449,0.03580355342214807
burst,28,0.03514949854110628,0.03449544366006449,0.03580355342214807
burst,29,0.03514949854110628,0.03449544366006449,0.03580355342214807
burst,30,0.03514949854110628,0.03449544366006449,0.03580355342214807
burst,31,0.03514949854110628,0.03449544366006449,0.03580355342214807
burst,32,0.03514949854110628,0.03449544366006449,0.03580355342214807
burst,33,0.03514949854110628,0.03449544366006449,0.03580355342214807
burst,34,0.03514949854110628,0.03449544366006449,0.03580355342214807
burst,35,0.03514949854110628,0.03449544366006449,0.03580355342214807
burst,36,0.03514949854110628,0.03449544366006449,0.03580355342214807
