design,outcome,model,r2_in,rmse_in,r2_cv,rmse_cv,increment_M3_minus_M2,increment_M4_minus_M3
E-S,mean_total_shift,M4 regime-specific splines,0.9822434310028277,0.007307056447479627,0.982156541421908,0.0073249127196368885,-1.5902916344012752e-05,9.025982169452718e-07
E-S,mean_signed_shift,M1 regime,0.9554326913424958,0.009694458267119059,0.9554304200104422,0.009694705298563465,-5.11253800684619e-05,7.338651543120633e-07
E-S,mean_signed_shift,M2 spline(exposure),0.96048638500499,0.009128275165243028,0.9604269979536935,0.009135132267667791,-5.11253800684619e-05,7.338651543120633e-07
E-S,mean_signed_shift,M3 spline + regime,0.960566248942923,0.00911904557762685,0.960375872573625,0.009141031319269423,-5.11253800684619e-05,7.338651543120633e-07
E-S,mean_signed_shift,M4 regime-specific splines,0.9605690287194998,0.009118724160625404,0.9603766064387793,0.009140946669892184,-5.11253800684619e-05,7.338651543120633e-07
E-S,conversion_rate,M1 regime,0.9267481502321239,0.01539334995519769,0.9267256201614568,0.015395717039443044,-7.516631017345787e-05,-5.7357629985599345e-06
E-S,conversion_rate,M2 spline(exposure),0.9330818922161097,0.014712811500056829,0.9329179022738203,0.014730828123808331,-7.516631017345787e-05,-5.7357629985599345e-06
E-S,conversion_rate,M3 spline + regime,0.9331256812658961,0.014707996917824496,0.9328427359636469,0.014739078849649468,-7.516631017345787e-05,-5.7357629985599345e-06
E-S,conversion_rate,M4 regime-specific splines,0.9331291936601863,0.014707610663700944,0.9328370002006483,0.014739708253328236,-7.516631017345787e-05,-5.7357629985599345e-06
E-SD,mean_total_shift,M1 regime,0.0008885943772498628,0.0005376508990818206,0.00022618983555178218,0.0005378290991228356,0.000986837578600852,-0.0034207592982857804
