effect,order,ss,share_sys,design,outcome
seeding_regime,1,0.0009221942506667915,0.0025683816884706284,CS-0,conversion_rate
topology × message_condition,2,0.0003860868744152146,0.0010752815447395252,CS-0,conversion_rate
topology × inoculation,2,0.0006280679807188897,0.001749217477366354,CS-0,conversion_rate
topology × seeding_regime,2,0.0003010977175090157,0.0008385802270305848,CS-0,conversion_rate
message_condition × inoculation,2,0.0004805909985833301,0.0013384827757413906,CS-0,conversion_rate
message_condition × seeding_regime,2,0.0004184400027673063,0.0011653874875646624,CS-0,conversion_rate
inoculation × seeding_regime,2,0.00012721311620996672,0.0003542982814854045,CS-0,conversion_rate
topology × message_condition × inoculation,3,0.0009025521605829367,0.0025136769617189855,CS-0,conversion_rate
topology × message_condition × seeding_regime,3,0.0006773830047415164,0.0018865636000239417,CS-0,conversion_rate
topology × inoculation × seeding_regime,3,0.0003244815672896993,0.0009037060414012886,CS-0,conversion_rate
message_condition × inoculation × seeding_regime,3,0.0002886409862582484,0.0008038872754972852,CS-0,conversion_rate
topology × message_condition × inoculation × seeding_regime,4,0.0012825676798839947,0.003572049317002897,CS-0,conversion_rate
topology,1,0.0010166429348468298,0.0011288000101785907,CS-15,mean_total_shift
message_condition,1,0.6769265328862737,0.7516057516568563,CS-15,mean_total_shift
inoculation,1,0.0006616727302237502,0.0007346691340790112,CS-15,mean_total_shift
seeding_regime,1,0.1978256065951102,0.21964992730883445,CS-15,mean_total_shift
topology × message_condition,2,0.00015864589027037024,0.00017614786510955895,CS-15,mean_total_shift
topology × inoculation,2,0.0003417442000587089,0.000379445765354052,CS-15,mean_total_shift
topology × seeding_regime,2,8.707073311170488e-05,9.667646432575442e-05,CS-15,mean_total_shift
message_condition × inoculation,2,9.735209544581291e-05,0.00010809207693623253,CS-15,mean_total_shift
message_condition × seeding_regime,2,0.023240784046390073,0.025804730814438855,CS-15,mean_total_shift
inoculation × seeding_regime,2,4.5367426210640716e-05,5.037240648907205e-05,CS-15,mean_total_shift
topology × message_condition × inoculation,3,8.650361527717809e-05,9.604678147896147e-05,CS-15,mean_total_shift
topology × message_condition × seeding_regime,3,2.9297299636743546e-05,3.2529407321503566e-05,CS-15,mean_total_shift
topology × inoculation × seeding_regime,3,3.09512754916863e-05,3.436585146319803e-05,CS-15,mean_total_shift
message_condition × inoculation × seeding_regime,3,2.7854280933881093e-05,3.092719333796327e-05,CS-15,mean_total_shift
topology × message_condition × inoculation × seeding_regime,4,6.441133974366409e-05,7.151726379647639e-05,CS-15,mean_total_shift
topology,1,0.000495513537249315,0.0011809808820032485,CS-15,mean_signed_shift
message_condition,1,0.2909627325133678,0.6934652610728193,CS-15,mean_signed_shift
inoculation,1,0.001721731902018207,0.004103485187318974,CS-15,mean_signed_shift
seeding_regime,1,0.11099054029503533,0.26452901145604196,CS-15,mean_signed_shift
topology × message_condition,2,7.742540063615522e-05,0.00018453162438372488,CS-15,mean_signed_shift
topology × inoculation,2,0.0005859773349966091,0.0013965875357508514,CS-15,mean_signed_shift
topology × seeding_regime,2,6.613035976088533e-05,0.00015761161850621157,CS-15,mean_signed_shift
message_condition × inoculation,2,0.0002603277060261311,0.0006204513514994745,CS-15,mean_signed_shift
message_condition × seeding_regime,2,0.013976951985038899,0.033311931646991776,CS-15,mean_signed_shift
inoculation × seeding_regime,2,9.511515708877927e-05,0.00022669245876539242,CS-15,mean_signed_shift
topology × message_condition × inoculation,3,0.00014271595728171382,0.00034014170035014384,CS-15,mean_signed_shift
topology × message_condition × seeding_regime,3,2.9418096650690728e-05,7.011354305726907e-05,CS-15,mean_signed_shift
topology × inoculation × seeding_regime,3,5.454048427670777e-05,0.00012998891934123377,CS-15,mean_signed_shift
message_condition × inoculation × seeding_regime,3,4.70050879893269e-05,0.00011202945247557377,CS-15,mean_signed_shift
topology × message_condition × inoculation × seeding_regime,4,7.182400408783929e-05,0.00017118155069491723,CS-15,mean_signed_shift
topology,1,0.0002535821023868626,0.00051634526496565,CS-15,conversion_rate
message_condition,1,0.3444495585436574,0.7013700765923618,CS-15,conversion_rate
inoculation,1,0.0008027241450956837,0.0016345112982832852,CS-15,conversion_rate
seeding_regime,1,0.12415160877695569,0.25279818538632803,CS-15,conversion_rate
topology × message_condition,2,0.00031419874291355177,0.0006397732002161088,CS-15,conversion_rate
topology × inoculation,2,0.0009997892616304962,0.0020357763672881157,CS-15,conversion_rate
topology × seeding_regime,2,0.0002207681723289806,0.00044952936096130197,CS-15,conversion_rate
message_condition × inoculation,2,0.00018899730746674281,0.0003848373520179692,CS-15,conversion_rate
message_condition × seeding_regime,2,0.015911471475052008,0.032399025315458345,CS-15,conversion_rate
inoculation × seeding_regime,2,0.00019077088217739346,0.0003884487145521838,CS-15,conversion_rate
topology × message_condition × inoculation,3,0.0007868458551864022,0.0016021798374536815,CS-15,conversion_rate
topology × message_condition × seeding_regime,3,0.0009620819983326423,0.0019589966313548726,CS-15,conversion_rate
topology × inoculation × seeding_regime,3,0.0005019116187991446,0.001021995185617678,CS-15,conversion_rate
message_condition × inoculation × seeding_regime,3,0.0002958634849635211,0.0006024388476127108,CS-15,conversion_rate
topology × message_condition × inoculation × seeding_regime,4,0.0010794002244322032,0.00219788064552817,CS-15,conversion_rate
topology,1,0.0009512638769253808,0.0005782702716595602,CS-30,mean_total_shift
message_condition,1,0.6378900402365588,0.38777131751157395,CS-30,mean_total_shift
inoculation,1,0.000716776200616786,0.0004357259623790905,CS-30,mean_total_shift
seeding_regime,1,0.896010455854723,0.5446818935158207,CS-30,mean_total_shift
topology × message_condition,2,0.00019183745964956866,0.00011661737883350519,CS-30,mean_total_shift
topology × inoculation,2,0.0002566957741880931,0.00015604454103038923,CS-30,mean_total_shift
topology × seeding_regime,2,0.00021420452634568488,0.0001302142472191689,CS-30,mean_total_shift
message_condition × inoculation,2,0.0001392010915514108,8.461989883071729e-05,CS-30,mean_total_shift
message_condition × seeding_regime,2,0.10816323677328255,0.06575208607166505,CS-30,mean_total_shift
inoculation × seeding_regime,2,0.00015953309579341823,9.697965925220047e-05,CS-30,mean_total_shift
topology × message_condition × inoculation,3,7.301774120371807e-05,4.438725159869983e-05,CS-30,mean_total_shift
topology × message_condition × seeding_regime,3,8.339917697774979e-05,5.069809323884392e-05,CS-30,mean_total_shift
topology × inoculation × seeding_regime,3,5.3808376052399964e-05,3.270993989380918e-05,CS-30,mean_total_shift
message_condition × inoculation × seeding_regime,3,4.8436131889761924e-05,2.944416983073143e-05,CS-30,mean_total_shift
topology × message_condition × inoculation × seeding_regime,4,6.414162213319585e-05,3.8991487173392935e-05,CS-30,mean_total_shift
topology,1,0.0005313642522276579,0.0006540476378054915,CS-30,mean_signed_shift
message_condition,1,0.28404846730435207,0.3496306503191067,CS-30,mean_signed_shift
inoculation,1,0.0016224086133383563,0.001996996442008679,CS-30,mean_signed_shift
seeding_regime,1,0.46344793433125564,0.5704505439054729,CS-30,mean_signed_shift
topology × message_condition,2,0.0001260527197461947,0.00015515624779672557,CS-30,mean_signed_shift
topology × inoculation,2,0.0004918873934361381,0.0006054562127475781,CS-30,mean_signed_shift
topology × seeding_regime,2,0.0002049011069376605,0.00025220944844232726,CS-30,mean_signed_shift
message_condition × inoculation,2,0.00027584978563427454,0.0003395390260576839,CS-30,mean_signed_shift
message_condition × seeding_regime,2,0.06086489441768084,0.07491761113449764,CS-30,mean_signed_shift
inoculation × seeding_regime,2,0.0003671475080153641,0.0004519159114240516,CS-30,mean_signed_shift
topology × message_condition × inoculation,3,0.0001330474682401661,0.0001637659702429496,CS-30,mean_signed_shift
topology × message_condition × seeding_regime,3,6.789650750016474e-05,8.357270960467171e-05,CS-30,mean_signed_shift
topology × inoculation × seeding_regime,3,7.795378640984563e-05,9.595205105651164e-05,CS-30,mean_signed_shift
message_condition × inoculation × seeding_regime,3,8.577442984525341e-05,0.00010557835418775047,CS-30,mean_signed_shift
topology × message_condition × inoculation × seeding_regime,4,7.880892684752894e-05,9.700462954841044e-05,CS-30,mean_signed_shift
topology,1,0.00017733022795093158,0.0001865658838062455,CS-30,conversion_rate
message_condition,1,0.34494530415005337,0.36291063445413446,CS-30,conversion_rate
inoculation,1,0.0013385521512591712,0.001408266193564697,CS-30,conversion_rate
seeding_regime,1,0.5237919574778689,0.5510719216156548,CS-30,conversion_rate
topology × message_condition,2,0.0003279720498934324,0.0003450533846324581,CS-30,conversion_rate
topology × inoculation,2,0.0007620655528506445,0.0008017552056901232,CS-30,conversion_rate
topology × seeding_regime,2,0.0005159203914379962,0.0005427903912068943,CS-30,conversion_rate
message_condition × inoculation,2,0.0005720892182128345,0.0006018845847389033,CS-30,conversion_rate
message_condition × seeding_regime,2,0.07327498998227266,0.07709127442569595,CS-30,conversion_rate
inoculation × seeding_regime,2,0.0002852533923078937,0.00030010986767229427,CS-30,conversion_rate
topology × message_condition × inoculation,3,0.0010501526155800023,0.001104846326094706,CS-30,conversion_rate
topology × message_condition × seeding_regime,3,0.0007610648359540617,0.0008007023697782307,CS-30,conversion_rate
topology × inoculation × seeding_regime,3,0.00048327563296601816,0.0005084454389314635,CS-30,conversion_rate
message_condition × inoculation × seeding_regime,3,0.0004321531149875657,0.00045466037442633126,CS-30,conversion_rate
topology × message_condition × inoculation × seeding_regime,4,0.001778464089683518,0.0018710894839727313,CS-30,conversion_rate
topology,1,0.0009798027507788337,0.00032739778575294876,CS-45,mean_total_shift
message_condition,1,0.577182370084406,0.19286354298461084,CS-45,mean_total_shift
inoculation,1,0.0007493844795292588,0.000250404297273591,CS-45,mean_total_shift
seeding_regime,1,2.1490794208720847,0.7181076428306243,CS-45,mean_total_shift
topology × message_condition,2,0.00016429699030684475,5.4899285381243563e-05,CS-45,mean_total_shift
topology × inoculation,2,0.000216452526482011,7.232688195099604e-05,CS-45,mean_total_shift
topology × seeding_regime,2,0.0005934877947493256,0.00019831194566240773,CS-45,mean_total_shift
message_condition × inoculation,2,0.0001235698615019709,4.129045260322593e-05,CS-45,mean_total_shift
message_condition × seeding_regime,2,0.2627616530376544,0.08780092045764346,CS-45,mean_total_shift
inoculation × seeding_regime,2,0.000357107117415989,0.00011932613929250337,CS-45,mean_total_shift
topology × message_condition × inoculation,3,8.637519750509526e-05,2.8861981031042345e-05,CS-45,mean_total_shift
topology × message_condition × seeding_regime,3,0.00010881237832105484,3.6359289353400644e-05,CS-45,mean_total_shift
topology × inoculation × seeding_regime,3,0.00013710603145877798,4.5813518156891204e-05,CS-45,mean_total_shift
message_condition × inoculation × seeding_regime,3,6.726104619447781e-05,2.2475051814249865e-05,CS-45,mean_total_shift
topology × message_condition × inoculation × seeding_regime,4,9.10591227176738e-05,3.0427098848900746e-05,CS-45,mean_total_shift
topology,1,0.0005989583755262989,0.0004083040311394086,CS-45,mean_signed_shift
message_condition,1,0.27437231985126376,0.18703691075344736,CS-45,mean_signed_shift
inoculation,1,0.0016226872585095842,0.001106169937678629,CS-45,mean_signed_shift
seeding_regime,1,1.0478559121779798,0.7143130649431008,CS-45,mean_signed_shift
topology × message_condition,2,0.00013199793277773875,8.998169197961736e-05,CS-45,mean_signed_shift
topology × inoculation,2,0.0004047314066581132,0.00027590141756015063,CS-45,mean_signed_shift
topology × seeding_regime,2,0.0004722437003015223,0.00032192388384898055,CS-45,mean_signed_shift
message_condition × inoculation,2,0.00023662526093015668,0.00016130511209948886,CS-45,mean_signed_shift
message_condition × seeding_regime,2,0.1397606592613314,0.09527346624205833,CS-45,mean_signed_shift
inoculation × seeding_regime,2,0.0007736198421186558,0.0005273690343321876,CS-45,mean_signed_shift
topology × message_condition × inoculation,3,0.00013244289917507812,9.028502119443232e-05,CS-45,mean_signed_shift
topology × message_condition × seeding_regime,3,9.568296049811131e-05,6.522613269812482e-05,CS-45,mean_signed_shift
topology × inoculation × seeding_regime,3,0.00021133085511393368,0.00014406216453912622,CS-45,mean_signed_shift
message_condition × inoculation × seeding_regime,3,0.00014270071666722117,9.727767444692941e-05,CS-45,mean_signed_shift
topology × message_condition × inoculation × seeding_regime,4,0.00013019398697577955,8.875195987636436e-05,CS-45,mean_signed_shift
topology,1,0.00023591389382744799,0.00013332591017352281,CS-45,conversion_rate
message_condition,1,0.33821907896310915,0.1911433269538134,CS-45,conversion_rate
inoculation,1,0.0012181107597868945,0.0006884110261837136,CS-45,conversion_rate
seeding_regime,1,1.2429654746191399,0.7024575811506552,CS-45,conversion_rate
topology × message_condition,2,0.0004188991565605149,0.0002367393900089731,CS-45,conversion_rate
topology × inoculation,2,0.0007715928244878499,0.00043606298017973195,CS-45,conversion_rate
topology × seeding_regime,2,0.00030496670566759754,0.0001723508647417467,CS-45,conversion_rate
message_condition × inoculation,2,0.00030484392179847,0.00017228147386849006,CS-45,conversion_rate
message_condition × seeding_regime,2,0.18036594094151748,0.1019331793061771,CS-45,conversion_rate
inoculation × seeding_regime,2,0.0005373988456625067,0.0003037090739410195,CS-45,conversion_rate
topology × message_condition × inoculation,3,0.0007511409559549098,0.0004245046783660292,CS-45,conversion_rate
topology × message_condition × seeding_regime,3,0.0008804491087504029,0.0004975827276687372,CS-45,conversion_rate
topology × inoculation × seeding_regime,3,0.0007860273672561924,0.00044422061142944337,CS-45,conversion_rate
message_condition × inoculation × seeding_regime,3,0.00027969410313155585,0.00015806814200378048,CS-45,conversion_rate
topology × message_condition × inoculation × seeding_regime,4,0.0014131835163515571,0.0007986557107891257,CS-45,conversion_rate
topology,1,0.0005465372579648934,0.00015469093059115925,CS-45-R,mean_total_shift
message_condition,1,0.653048095391812,0.18483756802437892,CS-45-R,mean_total_shift
inoculation,1,0.0007675154748178788,0.0002172362109123026,CS-45-R,mean_total_shift
seeding_regime,1,2.550784159495007,0.7219693984610588,CS-45-R,mean_total_shift
topology × message_condition,2,6.306450661008878e-05,1.784966545759921e-05,CS-45-R,mean_total_shift
topology × inoculation,2,0.00033788586392935753,9.563461221190437e-05,CS-45-R,mean_total_shift
topology × seeding_regime,2,0.00037443381177570956,0.00010597907817677095,CS-45-R,mean_total_shift
message_condition × inoculation,2,0.00012199479095720278,3.452918802043655e-05,CS-45-R,mean_total_shift
message_condition × seeding_regime,2,0.3259883272708053,0.09226715465867733,CS-45-R,mean_total_shift
inoculation × seeding_regime,2,0.0004414661214844351,0.00012495178354571327,CS-45-R,mean_total_shift
topology × message_condition × inoculation,3,8.996339909494999e-05,2.5463080004758962e-05,CS-45-R,mean_total_shift
topology × message_condition × seeding_regime,3,6.0089810014041234e-05,1.7007712639263618e-05,CS-45-R,mean_total_shift
topology × inoculation × seeding_regime,3,0.00028649999486418665,8.109044749287739e-05,CS-45-R,mean_total_shift
message_condition × inoculation × seeding_regime,3,6.195648137108378e-05,1.753605197042651e-05,CS-45-R,mean_total_shift
topology × message_condition × inoculation × seeding_regime,4,0.00011980747799666958,3.391009486177632e-05,CS-45-R,mean_total_shift
topology,1,0.0003833516738841356,0.00022884058770619343,CS-45-R,mean_signed_shift
message_condition,1,0.3092891455898687,0.18462919212222856,CS-45-R,mean_signed_shift
inoculation,1,0.0017126508516053514,0.0010223615915013237,CS-45-R,mean_signed_shift
seeding_regime,1,1.1889527208596042,0.7097416235063144,CS-45-R,mean_signed_shift
topology × message_condition,2,7.57537174314038e-05,4.52209456718607e-05,CS-45-R,mean_signed_shift
topology × inoculation,2,0.0005126271192033849,0.0003060111621374876,CS-45-R,mean_signed_shift
topology × seeding_regime,2,0.0002852407410744995,0.0001702735719499356,CS-45-R,mean_signed_shift
message_condition × inoculation,2,0.00028111735860114617,0.00016781213162549662,CS-45-R,mean_signed_shift
message_condition × seeding_regime,2,0.1719637480632834,0.10265322379381449,CS-45-R,mean_signed_shift
inoculation × seeding_regime,2,0.0009500057914808568,0.0005671029982576098,CS-45-R,mean_signed_shift
topology × message_condition × inoculation,3,0.000123465491364938,7.370234051443282e-05,CS-45-R,mean_signed_shift
topology × message_condition × seeding_regime,3,7.017511376972152e-05,4.1890815591601444e-05,CS-45-R,mean_signed_shift
topology × inoculation × seeding_regime,3,0.0003143452364282595,0.00018764740980008578,CS-45-R,mean_signed_shift
message_condition × inoculation × seeding_regime,3,0.00013167103300459893,7.860061303856736e-05,CS-45-R,mean_signed_shift
topology × message_condition × inoculation × seeding_regime,4,0.00014489800009931386,8.64964098479479e-05,CS-45-R,mean_signed_shift
topology,1,0.00027468792255771503,0.00013683961025134033,CS-45-R,conversion_rate
message_condition,1,0.3731355939406027,0.18588268741595743,CS-45-R,conversion_rate
inoculation,1,0.0018061401916236537,0.0008997538646029573,CS-45-R,conversion_rate
seeding_regime,1,1.4108221081634584,0.7028206614162247,CS-45-R,conversion_rate
topology × message_condition,2,0.00019622955410919518,9.775448244709291e-05,CS-45-R,conversion_rate
topology × inoculation,2,0.0016806827434461043,0.0008372554913512665,CS-45-R,conversion_rate
topology × seeding_regime,2,0.0007176585315014083,0.0003575115819792484,CS-45-R,conversion_rate
message_condition × inoculation,2,0.00038442157477569516,0.00019150495578654317,CS-45-R,conversion_rate
message_condition × seeding_regime,2,0.21029921637979232,0.10476348045308269,CS-45-R,conversion_rate
inoculation × seeding_regime,2,0.001350779350900666,0.0006729095265335833,CS-45-R,conversion_rate
topology × message_condition × inoculation,3,0.0009901753998509122,0.000493269651371712,CS-45-R,conversion_rate
topology × message_condition × seeding_regime,3,0.0009005216484099243,0.0004486073877726357,CS-45-R,conversion_rate
topology × inoculation × seeding_regime,3,0.002736644085358675,0.0013632973250159337,CS-45-R,conversion_rate
message_condition × inoculation × seeding_regime,3,0.000584038921510821,0.0002909471142633214,CS-45-R,conversion_rate
topology × message_condition × inoculation × seeding_regime,4,0.0014925202418747396,0.0007435197233597459,CS-45-R,conversion_rate
topology,1,0.002576148053464831,0.0012737406471917325,D-A95,mean_total_shift
message_condition,1,1.9899497037512386,0.9839030098157757,D-A95,mean_total_shift
inoculation,1,0.0025607419740862956,0.0012661233250848335,D-A95,mean_total_shift
seeding_regime,1,0.020843958498294738,0.01030600595798327,D-A95,mean_total_shift
topology × message_condition,2,0.00033571275543931023,0.00016598851211546817,D-A95,mean_total_shift
topology × inoculation,2,0.0010447731061106772,0.0005165735604970726,D-A95,mean_total_shift
topology × seeding_regime,2,0.0001330631038724099,6.57912047468812e-05,D-A95,mean_total_shift
message_condition × inoculation,2,0.00036940219950443165,0.0001826457901120968,D-A95,mean_total_shift
message_condition × seeding_regime,2,0.004076070008232957,0.0020153562382808662,D-A95,mean_total_shift
inoculation × seeding_regime,2,3.6813404222270363e-06,1.8201876734661693e-06,D-A95,mean_total_shift
topology × message_condition × inoculation,3,0.0003210205583656922,0.00015872415920529715,D-A95,mean_total_shift
topology × message_condition × seeding_regime,3,9.168579281970679e-05,4.5332767628549164e-05,D-A95,mean_total_shift
topology × inoculation × seeding_regime,3,6.351211063870474e-05,3.140268153480221e-05,D-A95,mean_total_shift
message_condition × inoculation × seeding_regime,3,6.41221743480358e-06,3.170431906798141e-06,D-A95,mean_total_shift
topology × message_condition × inoculation × seeding_regime,4,0.0001300769052008377,6.431472026321353e-05,D-A95,mean_total_shift
topology,1,0.0020823281929518373,0.0019857821322619373,D-A95,mean_signed_shift
message_condition,1,1.0304553506204728,0.9826788256922828,D-A95,mean_signed_shift
inoculation,1,0.005674685128709308,0.0054115813121798865,D-A95,mean_signed_shift
seeding_regime,1,0.004961808674877294,0.00473175700335029,D-A95,mean_signed_shift
topology × message_condition,2,0.00040501297051687146,0.00038623475536132086,D-A95,mean_signed_shift
topology × inoculation,2,0.0015838642559093457,0.0015104292157013858,D-A95,mean_signed_shift
topology × seeding_regime,2,7.193247537333382e-05,6.859736366689148e-05,D-A95,mean_signed_shift
message_condition × inoculation,2,0.0007863391968150335,0.0007498809900465161,D-A95,mean_signed_shift
message_condition × seeding_regime,2,0.0017934615326316017,0.0017103086239976376,D-A95,mean_signed_shift
inoculation × seeding_regime,2,7.792423034197471e-06,7.4311314041232855e-06,D-A95,mean_signed_shift
topology × message_condition × inoculation,3,0.000415436511025602,0.0003961750138504515,D-A95,mean_signed_shift
topology × message_condition × seeding_regime,3,9.050040121327818e-05,8.630439730881607e-05,D-A95,mean_signed_shift
topology × inoculation × seeding_regime,3,4.4380828224962685e-05,4.232313426981276e-05,D-A95,mean_signed_shift
message_condition × inoculation × seeding_regime,3,4.333134250034121e-05,4.1322307403485305e-05,D-A95,mean_signed_shift
topology × message_condition × inoculation × seeding_regime,4,0.0002024326092706641,0.000193046926914534,D-A95,mean_signed_shift
topology,1,0.001142697819254579,0.0008576492426291437,D-A95,conversion_rate
message_condition,1,1.3023996841799164,0.9775131131920775,D-A95,conversion_rate
inoculation,1,0.0047896497088123526,0.0035948606674523083,D-A95,conversion_rate
seeding_regime,1,0.006340977661520056,0.00475920632497453,D-A95,conversion_rate
topology × message_condition,2,0.0006479486870321072,0.00048631640958074577,D-A95,conversion_rate
topology × inoculation,2,0.004368644620074505,0.0032788762580880097,D-A95,conversion_rate
topology × seeding_regime,2,0.0006131281066896433,0.0004601819024035967,D-A95,conversion_rate
message_condition × inoculation,2,0.0008271735771860911,0.0006208332422120773,D-A95,conversion_rate
message_condition × seeding_regime,2,0.0014169955635949805,0.0010635227891822388,D-A95,conversion_rate
inoculation × seeding_regime,2,0.0002962893326310511,0.00022237928299879107,D-A95,conversion_rate
topology × message_condition × inoculation,3,0.0022192960826017405,0.0016656876142940808,D-A95,conversion_rate
topology × message_condition × seeding_regime,3,0.0014128152131649419,0.0010603852366991285,D-A95,conversion_rate
topology × inoculation × seeding_regime,3,0.0025085368699411005,0.0018827766276964884,D-A95,conversion_rate
message_condition × inoculation × seeding_regime,3,0.0007961313879993881,0.0005975345979012885,D-A95,conversion_rate
topology × message_condition × inoculation × seeding_regime,4,0.002580351070016418,0.0019366766118102167,D-A95,conversion_rate
topology,1,0.0003608945109675465,0.0001588211213947504,S-A06,mean_total_shift
message_condition,1,0.019570746272507704,0.008612621625080117,S-A06,mean_total_shift
inoculation,1,0.0004914525716293206,0.00021627662978094316,S-A06,mean_total_shift
seeding_regime,1,2.221405150006856,0.9775877611723741,S-A06,mean_total_shift
topology × message_condition,2,1.35219486372129e-05,5.950689136963599e-06,S-A06,mean_total_shift
topology × inoculation,2,0.00011711698232754288,5.154040835301646e-05,S-A06,mean_total_shift
topology × seeding_regime,2,0.0005124180602620321,0.00022550304446458338,S-A06,mean_total_shift
message_condition × inoculation,2,3.1535157152273036e-05,1.3877875307264156e-05,S-A06,mean_total_shift
message_condition × seeding_regime,2,0.028870508367418335,0.012705226526879023,S-A06,mean_total_shift
inoculation × seeding_regime,2,0.000671781111391212,0.0002956349465025762,S-A06,mean_total_shift
topology × message_condition × inoculation,3,1.9122654763344127e-05,8.415427171271356e-06,S-A06,mean_total_shift
topology × message_condition × seeding_regime,3,1.5470065461542504e-05,6.808009182698046e-06,S-A06,mean_total_shift
topology × inoculation × seeding_regime,3,0.00018615996503568155,8.192458878498489e-05,S-A06,mean_total_shift
message_condition × inoculation × seeding_regime,3,4.2240077973154655e-05,1.8588857263338623e-05,S-A06,mean_total_shift
topology × message_condition × inoculation × seeding_regime,4,2.51071877812592e-05,1.1049078324293888e-05,S-A06,mean_total_shift
topology,1,0.0003540107620731896,0.00022860633689835647,S-A06,mean_signed_shift
message_condition,1,0.030236978246554677,0.019525860726208842,S-A06,mean_signed_shift
inoculation,1,0.000839082712318821,0.0005418468752039962,S-A06,mean_signed_shift
seeding_regime,1,1.4732438633749891,0.9513634020383515,S-A06,mean_signed_shift
topology × message_condition,2,2.135961692669927e-05,1.3793207174180011e-05,S-A06,mean_signed_shift
topology × inoculation,2,0.0001446209028664676,9.339053606624808e-05,S-A06,mean_signed_shift
topology × seeding_regime,2,0.0005478231580517967,0.0003537628197993,S-A06,mean_signed_shift
message_condition × inoculation,2,2.9449648776710274e-05,1.901743407562006e-05,S-A06,mean_signed_shift
message_condition × seeding_regime,2,0.04171012342250524,0.02693477020686145,S-A06,mean_signed_shift
inoculation × seeding_regime,2,0.0011147136012901182,0.0007198385483801318,S-A06,mean_signed_shift
topology × message_condition × inoculation,3,2.5744409964695292e-05,1.6624735426607682e-05,S-A06,mean_signed_shift
topology × message_condition × seeding_regime,3,2.232748014963093e-05,1.4418215478213716e-05,S-A06,mean_signed_shift
topology × inoculation × seeding_regime,3,0.00019301849455133357,0.0001246438123366801,S-A06,mean_signed_shift
message_condition × inoculation × seeding_regime,3,4.022605691966774e-05,2.597641796654991e-05,S-A06,mean_signed_shift
topology × message_condition × inoculation × seeding_regime,4,3.723992388904307e-05,2.404808977216253e-05,S-A06,mean_signed_shift
topology,1,0.000222292601645308,0.00015693274697106053,S-A06,conversion_rate
message_condition,1,0.01839195276760105,0.012984236311143798,S-A06,conversion_rate
inoculation,1,0.0007033034323456148,0.0004965137785749713,S-A06,conversion_rate
seeding_regime,1,1.3654509482982549,0.9639725595213378,S-A06,conversion_rate
topology × message_condition,2,5.875871104134289e-05,4.1482109003834943e-05,S-A06,conversion_rate
topology × inoculation,2,0.00021939154005948258,0.00015488467357398797,S-A06,conversion_rate
topology × seeding_regime,2,0.0005780464596103485,0.00040808564078211154,S-A06,conversion_rate
message_condition × inoculation,2,0.00014905417260191456,0.00010522833679926375,S-A06,conversion_rate
message_condition × seeding_regime,2,0.028056518352181925,0.0198071661533627,S-A06,conversion_rate
inoculation × seeding_regime,2,0.0008026004911070306,0.0005666148979205449,S-A06,conversion_rate
topology × message_condition × inoculation,3,0.0003266338197355709,0.00023059491051593121,S-A06,conversion_rate
topology × message_condition × seeding_regime,3,0.00035132287298700327,0.0002480247346224676,S-A06,conversion_rate
topology × inoculation × seeding_regime,3,0.0003779343891325837,0.0002668117671142384,S-A06,conversion_rate
message_condition × inoculation × seeding_regime,3,0.00022800734233063835,0.00016096720402153475,S-A06,conversion_rate
topology × message_condition × inoculation × seeding_regime,4,0.000566447690895977,0.0003998972142561911,S-A06,conversion_rate
topology,1,0.0045256627155442,0.00021988280089313734,S-A18,mean_total_shift
message_condition,1,0.14282072952956154,0.006939054898346521,S-A18,mean_total_shift
inoculation,1,0.003286732285970274,0.00015968841388529006,S-A18,mean_total_shift
seeding_regime,1,20.21860185396032,0.9823363085636811,S-A18,mean_total_shift
topology × message_condition,2,0.00015735919901255224,7.645417610627213e-06,S-A18,mean_total_shift
topology × inoculation,2,0.00039863726131230716,1.9368097683607312e-05,S-A18,mean_total_shift
topology × seeding_regime,2,0.006010350958536748,0.0002920175201246514,S-A18,mean_total_shift
message_condition × inoculation,2,0.0001704783957426903,8.282823865535002e-06,S-A18,mean_total_shift
message_condition × seeding_regime,2,0.2008552578430347,0.009758707054537774,S-A18,mean_total_shift
inoculation × seeding_regime,2,0.00411914639143518,0.00020013189288868938,S-A18,mean_total_shift
topology × message_condition × inoculation,3,0.00015498075017245094,7.529858845952541e-06,S-A18,mean_total_shift
topology × message_condition × seeding_regime,3,0.00023993947401734772,1.1657643732607784e-05,S-A18,mean_total_shift
topology × inoculation × seeding_regime,3,0.0004594791241885332,2.23241463468962e-05,S-A18,mean_total_shift
message_condition × inoculation × seeding_regime,3,0.00014333840742608572,6.964206676771644e-06,S-A18,mean_total_shift
topology × message_condition × inoculation × seeding_regime,4,0.00021480901112269635,1.0436660880739968e-05,S-A18,mean_total_shift
topology,1,0.004081842993777049,0.00028295385046069884,S-A18,mean_signed_shift
message_condition,1,0.2414895503914755,0.016740084866924985,S-A18,mean_signed_shift
inoculation,1,0.00643292985394866,0.0004459314762212471,S-A18,mean_signed_shift
seeding_regime,1,13.844711779614899,0.9597170965499904,S-A18,mean_signed_shift
topology × message_condition,2,0.0001961524856659569,1.3597314051822903e-05,S-A18,mean_signed_shift
topology × inoculation,2,0.0007323122014244766,5.076397045361819e-05,S-A18,mean_signed_shift
topology × seeding_regime,2,0.006150223031271551,0.000426334205049879,S-A18,mean_signed_shift
