effect,order,ss,share_sys,design,outcome
message_condition × seeding_regime,2,0.00838507585907293,0.0918274293779934,C-D5,mean_signed_shift
inoculation × seeding_regime,2,7.258955470605677e-05,0.0007949495413494555,C-D5,mean_signed_shift
topology × message_condition × inoculation,3,1.4532313907664879e-05,0.00015914763938730414,C-D5,mean_signed_shift
topology × message_condition × seeding_regime,3,1.2034583950645827e-05,0.00013179426476216105,C-D5,mean_signed_shift
topology × inoculation × seeding_regime,3,1.2726207402793954e-05,0.00013936843639467838,C-D5,mean_signed_shift
message_condition × inoculation × seeding_regime,3,1.9714138009330195e-05,0.00021589531761253907,C-D5,mean_signed_shift
topology × message_condition × inoculation × seeding_regime,4,2.5469160592858642e-05,0.00027892026082589055,C-D5,mean_signed_shift
topology,1,0.00012449126096377805,0.0010677179739300722,C-D5,conversion_rate
message_condition,1,0.027384369621190986,0.234866153840289,C-D5,conversion_rate
inoculation,1,0.0001721616773659018,0.0014765704509893888,C-D5,conversion_rate
seeding_regime,1,0.0769532165134843,0.6600008047720406,C-D5,conversion_rate
topology × message_condition,2,0.00011983660387748438,0.0010277966092090355,C-D5,conversion_rate
topology × inoculation,2,2.1150773670559962e-05,0.00018140278310101272,C-D5,conversion_rate
topology × seeding_regime,2,0.0001277108936991178,0.0010953316370447557,C-D5,conversion_rate
message_condition × inoculation,2,0.0001052548569036027,0.0009027340689569619,C-D5,conversion_rate
message_condition × seeding_regime,2,0.009998273195525903,0.08575168984939721,C-D5,conversion_rate
inoculation × seeding_regime,2,0.00010625126054529532,0.0009112798742551678,C-D5,conversion_rate
topology × message_condition × inoculation,3,0.00018482743537566806,0.0015852002244833774,C-D5,conversion_rate
topology × message_condition × seeding_regime,3,0.0003032001114900984,0.0026004412376365352,C-D5,conversion_rate
topology × inoculation × seeding_regime,3,0.00015304746984411144,0.0013126345829577923,C-D5,conversion_rate
message_condition × inoculation × seeding_regime,3,0.00043924670056808,0.0037672652164915995,C-D5,conversion_rate
topology × message_condition × inoculation × seeding_regime,4,0.00040260205060548004,0.0034529768792176435,C-D5,conversion_rate
topology,1,0.00027555552043029643,0.0002790695094878445,C-D10,mean_total_shift
message_condition,1,0.16216294657919564,0.16423091030182116,C-D10,mean_total_shift
inoculation,1,0.00015041808651940447,0.0001523362753085861,C-D10,mean_total_shift
seeding_regime,1,0.7319922980474808,0.7413269429187999,C-D10,mean_total_shift
topology × message_condition,2,3.80394376539861e-05,3.8524531066241654e-05,C-D10,mean_total_shift
topology × inoculation,2,5.763671115863932e-05,5.837171647447639e-05,C-D10,mean_total_shift
topology × seeding_regime,2,0.00025223272020014065,0.0002554492880168725,C-D10,mean_total_shift
message_condition × inoculation,2,2.5650167015167646e-05,2.5977267724581232e-05,C-D10,mean_total_shift
message_condition × seeding_regime,2,0.09219048071227254,0.0933661288717692,C-D10,mean_total_shift
inoculation × seeding_regime,2,9.333444823467207e-05,9.452468470417474e-05,C-D10,mean_total_shift
topology × message_condition × inoculation,3,2.4393443526421477e-05,2.4704518018755755e-05,C-D10,mean_total_shift
topology × message_condition × seeding_regime,3,5.4876343492882285e-05,5.557614754780056e-05,C-D10,mean_total_shift
topology × inoculation × seeding_regime,3,3.6790659162289074e-05,3.7259827675096886e-05,C-D10,mean_total_shift
message_condition × inoculation × seeding_regime,3,2.6187993749093863e-05,2.652195303007561e-05,C-D10,mean_total_shift
topology × message_condition × inoculation × seeding_regime,4,2.735336797832222e-05,2.7702188555797183e-05,C-D10,mean_total_shift
topology,1,0.00015856392460502538,0.00038368902142948806,C-D10,mean_signed_shift
message_condition,1,0.06419166716040331,0.15532939171412236,C-D10,mean_signed_shift
inoculation,1,0.00041915519959407694,0.0010142612751288832,C-D10,mean_signed_shift
seeding_regime,1,0.30592655632631144,0.740273434316947,C-D10,mean_signed_shift
topology × message_condition,2,3.292525834765192e-05,7.967171717773734e-05,C-D10,mean_signed_shift
topology × inoculation,2,0.00010359689554210896,0.00025068117841241244,C-D10,mean_signed_shift
topology × seeding_regime,2,0.00015120234100346464,0.00036587564543434897,C-D10,mean_signed_shift
message_condition × inoculation,2,6.347335787713904e-05,0.0001535912448647308,C-D10,mean_signed_shift
message_condition × seeding_regime,2,0.041700424915736,0.10090564590254536,C-D10,mean_signed_shift
inoculation × seeding_regime,2,0.0002767083849725127,0.0006695720335877245,C-D10,mean_signed_shift
topology × message_condition × inoculation,3,4.026992158347176e-05,9.744414969478376e-05,C-D10,mean_signed_shift
topology × message_condition × seeding_regime,3,5.306593174797536e-05,0.00012840761525260188,C-D10,mean_signed_shift
topology × inoculation × seeding_regime,3,5.0859290504468024e-05,0.00012306803992690105,C-D10,mean_signed_shift
message_condition × inoculation × seeding_regime,3,5.64791114806007e-05,0.0001366667422566548,C-D10,mean_signed_shift
topology × message_condition × inoculation × seeding_regime,4,3.66147278327289e-05,8.859940321886777e-05,C-D10,mean_signed_shift
topology,1,0.00026955455422917056,0.0005440316008538192,C-D10,conversion_rate
message_condition,1,0.07571142085153254,0.15280545196709222,C-D10,conversion_rate
inoculation,1,0.0005886212297435748,0.0011879916139042042,C-D10,conversion_rate
seeding_regime,1,0.36848858754732045,0.7437063593787246,C-D10,conversion_rate
topology × message_condition,2,0.00011657659308045298,0.00023528205908820735,C-D10,conversion_rate
topology × inoculation,2,0.00021349228009939856,0.00043088326681975484,C-D10,conversion_rate
topology × seeding_regime,2,0.00024299586688897312,0.0004904292225464596,C-D10,conversion_rate
message_condition × inoculation,2,0.00011073858166835149,0.00022349942494421805,C-D10,conversion_rate
message_condition × seeding_regime,2,0.047553270645108336,0.0959749392061786,C-D10,conversion_rate
inoculation × seeding_regime,2,0.00031176029316343223,0.000629213822253438,C-D10,conversion_rate
topology × message_condition × inoculation,3,0.00035975884271628733,0.0007260874507720663,C-D10,conversion_rate
topology × message_condition × seeding_regime,3,0.00023294229489850826,0.00047013848444369446,C-D10,conversion_rate
topology × inoculation × seeding_regime,3,0.0003112003290907106,0.0006280836682785792,C-D10,conversion_rate
message_condition × inoculation × seeding_regime,3,0.0002091958457414167,0.0004222119384186438,C-D10,conversion_rate
topology × message_condition × inoculation × seeding_regime,4,0.0007557974198422746,0.001525396895681468,C-D10,conversion_rate
topology,1,0.0027206022283503633,0.00018737682723017602,C-D50,mean_total_shift
message_condition,1,1.1833100968991999,0.08149845989093638,C-D50,mean_total_shift
inoculation,1,0.0019813064459289725,0.0001364590941447457,C-D50,mean_total_shift
seeding_regime,1,11.98439273769764,0.8254045608246687,C-D50,mean_total_shift
topology × message_condition,2,0.00047171560781311683,3.248860602476616e-05,C-D50,mean_total_shift
topology × inoculation,2,0.0003191293126485724,2.1979485812777028e-05,C-D50,mean_total_shift
topology × seeding_regime,2,0.0035969074397126377,0.00024773085049725757,C-D50,mean_total_shift
message_condition × inoculation,2,0.00024749043373950563,1.7045480504530618e-05,C-D50,mean_total_shift
