design,replications,B_factor_U,q_proportion
CS-0,30,8.103381436583885e-07,0.0002411120991416
PC-M01,30,6.952796584019164e-06,0.0020687701700789
PC-M05,30,2.31937567816964e-05,0.0069011873973597
