design,replications,B_factor_U,q_proportion,seed_main_percent,seed_shapley_percent
C-D50,30,0.0029298424538664,0.8717601037719244,82.54045608246687,87.17332884333078
CS-0,30,8.103381436583885e-07,0.0002411120991416,0.44891241966469,0.50200547744139
CS-15,30,4.849212694633328e-05,0.0144285920777309,21.96499273088344,23.26763039514512
CS-30,30,0.0002199736010543,0.0654520549489396,54.468189351582076,57.771889877767
CS-45,30,0.0005280080595477,0.157106181657093,71.81076428306244,76.22094114964106
E-S,30,0.0029621960924007,0.8813867685944253,98.08506631640758,98.647283603042
