design,outcome,factor,metric,point,p02_5,median,p97_5,range_width,bootstrap_draws,range_label,replications_design,replications_benchmark
C-D10,mean_total_shift,topology,rho_proportion,0.08804288815661956,0.07470563020326172,0.08791361867385272,0.10673423579266123,0.0320286055893995,1000,2.5th-97.5th percentile range from distinct-pair replication-block bootstrap,30,30
C-D10,mean_total_shift,topology,tau_proportion,0.06799896326881726,0.06763148977416679,0.06801826817942877,0.06839515970338426,0.0007636699292174753,1000,2.5th-97.5th percentile range from distinct-pair replication-block bootstrap,30,30
C-D10,mean_total_shift,message_condition,B_total_U,0.00022853334138815635,0.00022730102984865267,0.000228570855164436,0.0002299749097577213,2.6738799090686416e-06,1000,2.5th-97.5th percentile range from distinct-pair replication-block bootstrap,30,30
C-D10,mean_total_shift,message_condition,B_factor_U,4.821542363431345e-05,4.7772774772081665e-05,4.8230200281819216e-05,4.8693299530782064e-05,9.20524758700399e-07,1000,2.5th-97.5th percentile range from distinct-pair replication-block bootstrap,30,30
C-D10,mean_total_shift,message_condition,q_proportion,0.014346260378399455,0.014233512578721953,0.01435092690329955,0.014474852241237839,0.00024133966251588604,1000,2.5th-97.5th percentile range from distinct-pair replication-block bootstrap,30,30
C-D10,mean_total_shift,message_condition,rho_proportion,0.11240779630384805,0.11156534886064122,0.11241262094302087,0.11325000004007267,0.0016846511794314512,1000,2.5th-97.5th percentile range from distinct-pair replication-block bootstrap,30,30
C-D10,mean_total_shift,message_condition,tau_proportion,0.06799896326881726,0.06763148977416679,0.06801826817942877,0.06839515970338426,0.0007636699292174753,1000,2.5th-97.5th percentile range from distinct-pair replication-block bootstrap,30,30
C-D10,mean_total_shift,inoculation,B_total_U,0.00022853334138815635,0.00022730102984865267,0.000228570855164436,0.0002299749097577213,2.6738799090686416e-06,1000,2.5th-97.5th percentile range from distinct-pair replication-block bootstrap,30,30
C-D10,mean_total_shift,inoculation,B_factor_U,5.608518533610183e-08,3.807498456360214e-08,5.545360679354862e-08,7.22097485370526e-08,3.4134763973450465e-08,1000,2.5th-97.5th percentile range from distinct-pair replication-block bootstrap,30,30
C-D10,mean_total_shift,inoculation,q_proportion,1.6687868975393373e-05,1.1320740623388125e-05,1.6509621318622698e-05,2.1531386789690555e-05,1.021064616630243e-05,1000,2.5th-97.5th percentile range from distinct-pair replication-block bootstrap,30,30
C-D10,mean_total_shift,inoculation,rho_proportion,0.06545868531953629,0.04423842035922343,0.06490345241286878,0.08712330008100139,0.04288487972177796,1000,2.5th-97.5th percentile range from distinct-pair replication-block bootstrap,30,30
C-D10,mean_total_shift,inoculation,tau_proportion,0.06799896326881726,0.06763148977416679,0.06801826817942877,0.06839515970338426,0.0007636699292174753,1000,2.5th-97.5th percentile range from distinct-pair replication-block bootstrap,30,30
