design,outcome,factor,replications,splits,mean_B_total,mean_B_factor,split_sd_B_factor,split_q025_B_factor,split_q975_B_factor,positive_frequency,sign_stability,factor_ranking_agreement,q_point,rho_point,tau_point
E-SD,mean_total_shift,inoculation,60,100,6.151604633771951e-08,1.8046699090369872e-09,1.4666114709660054e-10,1.4473620541470548e-09,2.0363242114726857e-09,1.0,1.0,1.0,5.369703058090264e-07,0.0021036070454825144,1.830378511256625e-05
E-SD,mean_total_shift,seeding_regime,60,100,6.151604633771951e-08,8.671382148768587e-11,1.4168685461353698e-10,-2.0162207926382056e-10,3.2075315797795613e-10,0.74,0.74,1.0,2.580125429528492e-08,2.9596752596976828e-08,1.830378511256625e-05
J-S06-D05,mean_total_shift,topology,60,100,1.0545358770636143e-08,2.0110429045232864e-10,2.9961434450240294e-11,1.5135990562983426e-10,2.4889096120503624e-10,1.0,1.0,1.0,5.983755356197995e-08,0.0001669489350336705,3.1377175934384876e-06
J-S06-D05,mean_total_shift,message_condition,60,100,1.0545358770636143e-08,1.001848761473663e-08,3.1555714753031354e-11,9.951977617755584e-09,1.0078231617406046e-08,1.0,1.0,1.0,2.980949774410416e-06,2.3356791074762182e-05,3.1377175934384876e-06
J-S06-D05,mean_total_shift,inoculation,60,100,1.0545358770636143e-08,3.504776447831272e-10,2.754479627505184e-11,2.959305454895509e-10,3.9196184236180205e-10,1.0,1.0,1.0,1.042828315339113e-07,0.0004085330171229635,3.1377175934384876e-06
J-S06-D05,mean_total_shift,seeding_regime,60,100,1.0545358770636143e-08,-2.4710779335944176e-11,2.933547874504622e-11,-8.777993583978062e-11,2.1361021496374777e-11,0.2,0.8,1.0,-7.352566067820088e-09,-8.434166663826326e-09,3.1377175934384876e-06
J-S06-D50,mean_total_shift,topology,30,100,1.2760170993985485e-06,4.189324097237955e-08,4.239587345527594e-10,4.099640366580287e-08,4.2745593879561656e-08,1.0,1.0,1.0,1.2465119689546968e-05,0.03477813402049529,0.00037967236481890193
J-S06-D50,mean_total_shift,message_condition,30,100,1.2760170993985485e-06,1.12600747534502e-06,4.554169897466215e-10,1.1251555021033893e-06,1.1267540813250747e-06,1.0,1.0,1.0,0.0003350377680436368,0.0026251388794021526,0.00037967236481890193
J-S06-D50,mean_total_shift,inoculation,30,100,1.2760170993985485e-06,3.7393251618045676e-08,4.026363658344083e-10,3.6703736311490746e-08,3.810578935157613e-08,1.0,1.0,1.0,1.1126170861490402e-05,0.04358731043462483,0.00037967236481890193
J-S06-D50,mean_total_shift,seeding_regime,30,100,1.2760170993985485e-06,7.072313146310347e-08,3.604488831903812e-10,6.990378049083395e-08,7.129446187917083e-08,1.0,1.0,1.0,2.1043306224227804e-05,2.413888569187544e-05,0.00037967236481890193
J-S06-D95,mean_total_shift,topology,30,100,5.124976724063643e-06,1.1655928715562072e-07,9.778732717580212e-10,1.1444204464861576e-07,1.1835627734976779e-07,1.0,1.0,1.0,3.4681620032238824e-05,0.09676297216308018,0.0015249106249314622
J-S06-D95,mean_total_shift,message_condition,30,100,5.124976724063643e-06,4.406925219962231e-06,9.069742014886455e-10,4.404871172545528e-06,4.408640276600962e-06,1.0,1.0,1.0,0.0013112580706259955,0.010274168677251403,0.0015249106249314622
J-S06-D95,mean_total_shift,inoculation,30,100,5.124976724063643e-06,1.305068777262311e-07,7.906445076705838e-10,1.288601049797428e-07,1.3169229762344442e-07,1.0,1.0,1.0,3.8831654305263454e-05,0.1521248767401031,0.0015249106249314622
