candidate_delta,n_seeds,selection_status,mean_total_shift,sd_total_shift,lo95_total_shift,hi95_total_shift,mean_signed_shift,sd_signed_shift,lo95_signed_shift,hi95_signed_shift,mean_conversion,sd_conversion,lo95_conversion,hi95_conversion
0.03,100,candidate not retained,0.009275959203193473,0.0009101785689441121,0.0076284710487618135,0.011409289011379997,0.005213908005986141,0.0014704756899726584,0.0024273969822764304,0.007932721284479896,0.0037834348016683324,0.012722821392929106,0.0,0.041666666666666664
0.06,100,retained low-strength anchor,0.018551918406386946,0.0018203571378882235,0.01525694209752363,0.022818578022760005,0.01042781601197228,0.0029409513799453168,0.004854793964552852,0.0158654425689598,0.008990384476313106,0.018111346339502548,0.0,0.051381578947368396
0.09,100,candidate not retained,0.02782656136815094,0.002731112317541355,0.022885413146285446,0.034227867034140005,0.015643040259387904,0.004412342764824391,0.007282190946829283,0.023798163853439695,0.014289686658895732,0.022572512578761996,0.0,0.06832579185520346
0.12,100,candidate not retained,0.03709743273421937,0.0036439503352202595,0.030513884195047258,0.045637156045519996,0.020862036102499083,0.005882363348343011,0.009709587929105708,0.03173088513791961,0.022169585501836394,0.02856675176008235,0.0,0.09130434782608689
0.14,100,retained intermediate/human-equivalent anchor,0.043276188624291355,0.0042525182636080384,0.03559953156088847,0.053243348719773334,0.024343191685213518,0.006861765480833959,0.011327852583956664,0.037019365994239536,0.025018026865570107,0.030685287807794108,0.0,0.0977380952380952
0.18,100,retained high and labeled pre-attenuation anchor,0.05563204108097697,0.005470885844015758,0.045770826292570906,0.06845573406828001,0.03130716217410071,0.008819450731496245,0.014564381893658562,0.047596327706879396,0.033606303546256995,0.0370673493148219,0.0,0.12788793103448237
0.24,100,candidate not retained,0.0741580891726516,0.007304927974122059,0.061027768390094515,0.09127431209103999,0.0417608485007853,0.011750800833446273,0.019419175858211426,0.0634617702758392,0.04608256585670309,0.04299788727120658,0.0,0.15201923076923074
0.3,100,candidate not retained,0.09266700766684549,0.009139794268310263,0.07628471048761816,0.11409289011379999,0.052231664424950634,0.014673499219559774,0.024273969822764276,0.079327212844799,0.058800602377552684,0.05022937208028188,0.0,0.18260869565217377
