design,splits_per_draw,bootstrap_draws,point_split_q,point_complete_u_q,point_absolute_difference,p02_5,median,p97_5,range_width,cumulative_runtime_seconds
E-SD,20,500,1.4645242637091054e-08,2.8303102902458603e-08,1.3657860265367548e-08,-2.9144577885015157e-08,1.543904607419487e-08,5.536361709330439e-08,8.450819497831955e-08,0.897013000001607
J-S06-D05,20,500,-1.0913062700384335e-08,-7.34364669575109e-09,3.5694160046332444e-09,-1.8833050162580477e-08,-1.1002554342681053e-08,-3.0034491933956313e-09,1.5829600969184844e-08,0.897013000001607
J-S18-D05,20,500,4.255331471099661e-08,7.620629852251724e-08,3.3652983811520636e-08,-2.940019156802149e-08,4.3087331138783394e-08,1.1338132718751808e-07,1.4278151875553958e-07,0.897013000001607
E-SD,50,500,2.0404283888465457e-08,2.8303102902458603e-08,7.898819013993145e-09,-5.199717442864953e-09,2.1520490979061363e-08,4.457163795510663e-08,4.977135539797159e-08,2.2398393000003125
J-S06-D05,50,500,-9.46172121140277e-09,-7.34364669575109e-09,2.11807451565168e-09,-1.4744223052348603e-08,-9.682199338704961e-09,-4.744288139264251e-09,9.99993491308435e-09,2.2398393000003125
J-S18-D05,50,500,6.116318479268035e-08,7.620629852251724e-08,1.5043113729836897e-08,1.8250055732973392e-08,6.07479108746019e-08,1.0544691702682926e-07,8.719686129385587e-08,2.2398393000003125
E-SD,100,500,2.2229486544743898e-08,2.8303102902458603e-08,6.0736163577147046e-09,3.145093628702098e-09,2.297494060448369e-08,3.968765323726486e-08,3.654255960856276e-08,4.562023300000874
J-S06-D05,100,500,-8.43369086335048e-09,-7.34364669575109e-09,1.0900441675993894e-09,-1.195897119145159e-08,-8.446264872593867e-09,-5.015246718463322e-09,6.943724472988268e-09,4.562023300000874
J-S18-D05,100,500,6.26236651080096e-08,7.620629852251724e-08,1.3582633414507645e-08,2.9779452298718613e-08,6.242627743113618e-08,9.637459960886675e-08,6.659514731014814e-08,4.562023300000874
