ss_sys,ss_mc,ms_mc,grand_mean,cell_mean_mc_se_median,main_ss__topology,main_share__topology,shapley_ss__topology,shapley_share__topology,main_ss__message_condition,main_share__message_condition,shapley_ss__message_condition,shapley_share__message_condition,main_ss__inoculation,main_share__inoculation,shapley_ss__inoculation,shapley_share__inoculation,main_ss__seeding_regime,main_share__seeding_regime,shapley_ss__seeding_regime,shapley_share__seeding_regime,design,outcome
0.01036772837197347,0.0010103518723019076,2.419424981565871e-07,0.004214181507624778,9.034982372102193e-05,1.3076737942636206e-06,0.00012612924908397347,1.0349574735558979e-05,0.000998249024688613,0.01032720503711694,0.9960913969384002,0.010335561502449818,0.9968974042944058,5.5206895581594564e-06,0.0005324878662025177,1.3043475243631026e-05,0.0012580841989351071,1.5043252359810415e-06,0.0001450968989549923,8.773819544464185e-06,0.0008462624819706876,C-D1,mean_total_shift
0.0033402427150194852,0.0011216490230709923,2.685941147200652e-07,0.002261181275896606,9.631559559777259e-05,1.5680502296150298e-06,0.00046944200269167645,1.579983949373217e-05,0.004730147130532699,0.0032684065885147714,0.978493740535171,0.0032821463870757283,0.9826071537608554,1.6841230487411587e-05,0.005041918185072172,3.1056796980623324e-05,0.009297766548812652,2.8671126561481303e-07,8.583545870053354e-05,1.1239691469401584e-05,0.003364932559799331,C-D1,mean_signed_shift
0.004679904500018081,0.022419724193394858,5.368707900717159e-06,0.0026864546612495417,0.0004266573436750621,5.346834356373575e-06,0.001142509287604676,0.00018266061432488346,0.039030842258464406,0.0040406945518902185,0.8634138905771703,0.004189363081832637,0.8951813187248695,2.294299401195393e-05,0.004902449187128773,0.00014981620539384193,0.03201266294926811,7.923368690960544e-06,0.001693062046657134,0.00015806459846671883,0.03377517606739799,C-D1,conversion_rate
0.2559662275012204,0.0025152496919561653,6.023107499895032e-07,0.010514886157095338,0.00011315071032202677,6.255768687279591e-05,0.00024439820629265494,0.00010341413407494893,0.00040401476040215456,0.063134680761211,0.2466523860492884,0.07418281799644069,0.2898148662838226,5.103099358673975e-05,0.00019936611983897932,8.195828531284616e-05,0.0003201917929288363,0.17053374721998982,0.6662353423917097,0.1815980370853919,0.7094609271628465,C-D5,mean_total_shift
0.09131341164476098,0.0031366022817026747,7.511020789517899e-07,0.005943537486329543,0.00012035526268635162,4.9449396015550966e-05,0.0005415348646475425,0.00010415794069662342,0.00114066421153808,0.021887052863637447,0.23969154661294703,0.026127317939844984,0.28612793530800046,0.00015328430722282363,0.001678661485337441,0.00024306486549769107,0.002661874757711308,0.06057699133993287,0.6633964304783307,0.06483887089872167,0.7100695257227501,C-D5,mean_signed_shift
0.11659564042511035,0.056149015409947906,1.3445645452573732e-05,0.006863932595146084,0.0005952897709574862,0.00012449126096377805,0.0010677179739300722,0.0005731825814753561,0.004915986390104462,0.027384369621190986,0.234866153840289,0.032905793877807135,0.2822214772167455,0.0001721616773659018,0.0014765704509893888,0.0006481811708396191,0.0055592230419279475,0.0769532165134843,0.6600008047720406,0.08246848279498827,0.7073033133512223,C-D5,conversion_rate
0.9874081942380698,0.004208795624424474,1.007853358339194e-06,0.017049881332750615,0.0001332490901525384,0.00027555552043029643,0.0002790695094878445,0.0004950351123251349,0.0005013479888194842,0.16216294657919564,0.16423091030182116,0.20833202267325054,0.21098875205710568,0.00015041808651940447,0.0001523362753085861,0.0002746911238641292,0.00027819408980709714,0.7319922980474808,0.7413269429187999,0.7783064453286306,0.7882317058642684,C-D10,mean_total_shift
0.413261562747542,0.005411573613817182,1.2958749075232716e-06,0.010295779610225013,0.00014295121439199374,0.00015856392460502538,0.00038368902142948806,0.0003596449019551302,0.0008702597443712282,0.06419166716040331,0.15532939171412236,0.08514917092994592,0.20604183549962238,0.00041915519959407694,0.0010142612751288832,0.0006994009752709876,0.0016923929983254837,0.30592655632631144,0.740273434316947,0.32705334594036994,0.7913955117576809,C-D10,mean_signed_shift
0.49547591317512385,0.08771841716553237,2.1005368095194533e-05,0.011578731609536765,0.0006630171516048017,0.00026955455422917056,0.0005440316008538192,0.0010463367681259777,0.0021117813001661585,0.07571142085153254,0.15280545196709222,0.10005796211087373,0.2019431408273295,0.0005886212297435748,0.0011879916139042042,0.0013889511680192043,0.0028032667806563694,0.36848858754732045,0.7437063593787246,0.3929826631281049,0.7931418110918479,C-D10,conversion_rate
14.519416667293346,0.017710221023288522,4.240953310174455e-06,0.048704719957071076,0.00018892409623027083,0.0027206022283503633,0.00018737682723017602,0.0053591507748477814,0.00036910234740489847,1.1833100968991999,0.08149845989093638,1.853160412308437,0.12763325516257784,0.0019813064459289725,0.0001364590941447457,0.0038382666970562442,0.00026435405670961846,11.98439273769764,0.8254045608246687,12.657058837513006,0.8717332884333078,C-D50,mean_total_shift
9.748599085544088,0.023059572052635396,5.521928173523802e-06,0.03708900052105774,0.00021952322747070347,0.0024636250164505233,0.00025271579996594183,0.005317559675278389,0.0005454691108554913,0.7356306808074182,0.07546014297564697,1.2177543987967006,0.12491583540474784,0.003866413420940547,0.0003966122093044054,0.007239442607453631,0.0007426136354493015,8.032180323064592,0.8239317518940006,8.518287684464656,0.8737960818489475,C-D50,mean_signed_shift
17.722076743184243,0.29252111504806816,7.00481597337328e-05,0.046904274955934154,0.0008630285887838466,0.004339740044667805,0.0002448776239690324,0.015060065242645242,0.0008497912214739287,1.7293033486192988,0.09757904638824984,3.0383046597293504,0.17144179566301992,0.006456647348570026,0.0003643279194721463,0.01608519759651012,0.0009076361551529986,13.337536803744928,0.7525944615308378,14.652626820615742,0.8268007769603535,C-D50,conversion_rate
12.972305238068113,0.017708733655593886,4.240597139749493e-06,0.04997488596811543,0.0001822458616272982,0.0027069199801653884,0.00020866915559631971,0.0050812341473154676,0.0003916986267332224,0.09654724649931434,0.0074425666623993605,0.16627771257829072,0.012817900097689456,0.002199267954469769,0.00016953563103155075,0.004119553293182683,0.0003175652451573197,12.723894195525922,0.9808506631640758,12.796826738049324,0.98647283603042,E-S,mean_total_shift
9.08707350496648,0.0228436821244462,5.47023039378501e-06,0.038536379388031027,0.00020849403991492807,0.0022788431226020483,0.0002507785505813903,0.004779888152570489,0.0005260096278475213,0.15727192839119908,0.0173072142868926,0.2622148727027839,0.028855810680905362,0.003927199598845177,0.000432174296455156,0.00708053560808817,0.0007791876674287218,8.70391269596954,0.9578345207852094,8.812998208503037,0.9698389920238184,E-S,mean_signed_shift
13.68154136099369,0.2928028491025422,7.011562478509152e-05,0.04648486534562538,0.0008913601533715738,0.0012625834887304498,9.228371682814168e-05,0.008470474374574589,0.0006191169657772667,0.26097741356577236,0.019075147067115075,0.4785526927997116,0.03497798092867471,0.007205500649038181,0.0005266585437208989,0.018779132636571085,0.0013725889606349996,12.950697647413667,0.9465817707013867,13.175739061182833,0.963030313144913,E-S,conversion_rate
0.0003043838607483762,0.0009455026550864722,2.2641347104561118e-07,0.004247494705636881,8.420823044733293e-05,2.3076111364834588e-06,0.007581253259649935,1.1733814873927254e-05,0.03854939892370706,0.00026340682366252777,0.865377103158164,0.0002721008039902902,0.893939656725843,5.363927907482533e-06,0.017622248086000557,1.2790742997368584e-05,0.04202175163269335,1.1106421301711252e-06,0.003648820694502115,7.758498886790131e-06,0.02548919271775654,E-SD,mean_total_shift
0.0007849832655196631,0.001054636584491882,2.525470748304315e-07,0.0023200905866033587,8.909274006536471e-05,2.3781074122171517e-06,0.003029500776227162,1.5212043179880501e-05,0.019378812069082835,0.0007230832257162545,0.9211447650894438,0.0007334407257690715,0.9343393139515271,1.4333084431228624e-05,0.018259095525737158,2.721721603818852e-05,0.03467235192608925,1.5772916277917756e-07,0.00020093315323704389,9.113280532522667e-06,0.011609522053300878,E-SD,mean_signed_shift
0.0010268821334694874,0.023789649810455872,5.696755222810314e-06,0.0027428857982402573,0.00042409299328832257,3.0931471718957045e-06,0.003012173521263834,0.00020368330796623695,0.19835120441531098,0.0002942926320548178,0.28658852117769595,0.00047066431524309213,0.4583430755123537,1.4042916210431652e-05,0.013675295102258121,0.00017417245450628016,0.16961289794556103,2.8492828706369543e-06,0.0027746931977579463,0.0001783620557538782,0.1736928221267743,E-SD,conversion_rate
